DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH,UNRATE,BAMLC0A4CBBBEY,BAMLC0A1CAAAEY,DGS10,THREEFFTP10_PCH,DGS5,DGS2,DGS1,DGS1MO
1962-02-01,30.11,25.8097,.,0,.,-6.09846,5.5,.,.,4.039444444,.,3.892777778,.,3.283888889,.
1962-03-01,30.17,25.9482,.,0,.,12.9108,5.6,.,.,3.930454545,.,3.684545455,.,3.058181818,.
1962-04-01,30.21,26.0035,.,0,.,5.61331,5.6,.,.,3.843,.,3.5995,.,2.9875,.
1962-05-01,30.24,25.9758,.,0,.,-2.69029,5.5,.,.,3.873636364,.,3.656363636,.,3.025909091,.
1962-06-01,30.21,25.9205,.,0,.,-5.32704,5.5,.,.,3.909047619,.,3.635714286,.,3.028095238,.
1962-07-01,30.22,26.1697,.,0,.,3.27635,5.4,.,.,4.014285714,.,3.803333333,.,3.29047619,.
1962-08-01,30.28,26.1974,.,0,.,4.62069,5.7,.,.,3.975652174,.,3.712173913,.,3.199130435,.
1962-09-01,30.42,26.3635,.,0,.,-12.72248,5.6,.,.,3.978947368,.,3.701578947,.,3.060526316,.
1962-10-01,30.38,26.3912,.,0,.,15.7855,5.4,.,.,3.925454545,.,3.635,.,2.975,.
1962-11-01,30.38,26.502,.,0,.,5.80561,5.7,.,.,3.915789474,.,3.599473684,.,3.002105263,.
1962-12-01,30.38,26.502,.,0,.,-3.57583,5.5,.,.,3.8645,.,3.561,.,3.006,.
1963-01-01,30.44,26.6958,.,0,.,-20.46036,5.7,.,.,3.833636364,.,3.578636364,.,3.038636364,.
1963-02-01,30.48,27.0005,.,0,.,17.0418,5.9,.,.,3.921111111,.,3.66,.,3.010555556,.
1963-03-01,30.51,27.1666,.,0,.,5.35714,5.7,.,.,3.928571429,.,3.683809524,.,3.031428571,.
1963-04-01,30.48,27.4159,.,0,.,10.1043,5.7,.,.,3.970952381,.,3.738095238,.,3.114761905,.
1963-05-01,30.51,27.7482,.,0,.,-2.84192,5.9,.,.,3.93,.,3.715909091,.,3.117272727,.
1963-06-01,30.61,27.8313,.,0,.,-3.22974,5.6,.,.,3.993,.,3.814,.,3.197,.
1963-07-01,30.69,27.7205,.,0,.,1.63728,5.6,.,.,4.020454545,.,3.892272727,.,3.475,.
1963-08-01,30.75,27.7759,.,0,.,1.54895,5.4,.,.,4.002272727,.,3.888636364,.,3.533636364,.
1963-09-01,30.72,28.0528,.,0,.,7.56559,5.5,.,.,4.0775,.,3.956,.,3.574,.
1963-10-01,30.75,28.2466,.,0,.,0.90754,5.5,.,.,4.106086957,.,3.969565217,.,3.639565217,.
1963-11-01,30.78,28.3851,.,0,.,-8.82518,5.7,.,.,4.121764706,.,4.012352941,.,3.740588235,.
1963-12-01,30.88,28.3297,.,0,.,-8.07645,5.5,.,.,4.128571429,.,4.042857143,.,3.811428571,.
1964-01-01,30.94,28.579,.,0,.,7.51174,5.6,.,.,4.166818182,.,4.068636364,.,3.792272727,.
1964-02-01,30.91,28.7728,.,0,.,13.53712,5.4,.,.,4.145555556,.,4.034444444,.,3.782222222,.
1964-03-01,30.94,28.7728,.,0,.,-16.64835,5.4,.,.,4.21952381,.,4.138571429,.,3.912857143,.
1964-04-01,30.95,29.2436,.,0,.,-4.54845,5.3,.,.,4.232272727,.,4.154545455,.,3.91,.
1964-05-01,30.98,29.4098,.,0,.,1.31215,5.1,.,.,4.2,.,4.0495,.,3.839,.
1964-06-01,31.01,29.4928,.,0,.,5.65781,5.2,.,.,4.17,.,4.018636364,.,3.833181818,.
1964-07-01,31.02,29.6867,.,-1.6835,.,0.77419,4.9,.,.,4.185909091,.,4.026818182,.,3.715,.
1964-08-01,31.05,29.8805,.,0,.,0.44814,5,.,.,4.193809524,.,4.054285714,.,3.743809524,.
1964-09-01,31.08,29.9913,.,0,.,-7.26577,5.1,.,.,4.203809524,.,4.076190476,.,3.84047619,.
1964-10-01,31.12,29.5759,.,0,.,4.74227,5.1,.,.,4.188095238,.,4.06952381,.,3.863809524,.
1964-11-01,31.21,30.4898,.,0,.,-2.49344,4.8,.,.,4.152777778,.,4.041666667,.,3.907777778,.
1964-12-01,31.25,30.8498,.,0,.,-0.13459,5,.,.,4.179545455,.,4.086363636,.,4.021818182,.
