DATE,CPIAUCSL,INDPRO,DGS3MO,WTISPLC_PCH,USD3MTD156N,HOUST_PCH
1919-01-01,.,5.0124,.,.,.,.
1919-02-01,.,4.7908,.,.,.,.
1919-03-01,.,4.6524,.,.,.,.
1919-04-01,.,4.7355,.,.,.,.
1919-05-01,.,4.7632,.,.,.,.
1919-06-01,.,5.0678,.,.,.,.
1919-07-01,.,5.3724,.,.,.,.
1919-08-01,.,5.4555,.,.,.,.
1919-09-01,.,5.3447,.,.,.,.
1919-10-01,.,5.2893,.,.,.,.
1919-11-01,.,5.2062,.,.,.,.
1919-12-01,.,5.2893,.,.,.,.
1920-01-01,.,5.7878,.,.,.,.
1920-02-01,.,5.7878,.,.,.,.
1920-03-01,.,5.6770,.,.,.,.
1920-04-01,.,5.3724,.,.,.,.
1920-05-01,.,5.5109,.,.,.,.
1920-06-01,.,5.5663,.,.,.,.
1920-07-01,.,5.4278,.,.,.,.
1920-08-01,.,5.4555,.,.,.,.
1920-09-01,.,5.2616,.,.,.,.
1920-10-01,.,5.0401,.,.,.,.
1920-11-01,.,4.6247,.,.,.,.
1920-12-01,.,4.3478,.,.,.,.
1921-01-01,.,4.0985,.,.,.,.
1921-02-01,.,4.0155,.,.,.,.
1921-03-01,.,3.9047,.,.,.,.
1921-04-01,.,3.9047,.,.,.,.
1921-05-01,.,4.0155,.,.,.,.
1921-06-01,.,3.9878,.,.,.,.
1921-07-01,.,3.9601,.,.,.,.
1921-08-01,.,4.0985,.,.,.,.
1921-09-01,.,4.1262,.,.,.,.
1921-10-01,.,4.3755,.,.,.,.
1921-11-01,.,4.3201,.,.,.,.
1921-12-01,.,4.2924,.,.,.,.
1922-01-01,.,4.4585,.,.,.,.
1922-02-01,.,4.6524,.,.,.,.
1922-03-01,.,4.9016,.,.,.,.
1922-04-01,.,4.7355,.,.,.,.
1922-05-01,.,4.9847,.,.,.,.
1922-06-01,.,5.2339,.,.,.,.
1922-07-01,.,5.2339,.,.,.,.
1922-08-01,.,5.1232,.,.,.,.
1922-09-01,.,5.4001,.,.,.,.
1922-10-01,.,5.7047,.,.,.,.
1922-11-01,.,5.9539,.,.,.,.
1922-12-01,.,6.1201,.,.,.,.
1923-01-01,.,5.9816,.,.,.,.
1923-02-01,.,6.0647,.,.,.,.
1923-03-01,.,6.2586,.,.,.,.
1923-04-01,.,6.3970,.,.,.,.
1923-05-01,.,6.4801,.,.,.,.
1923-06-01,.,6.4247,.,.,.,.
1923-07-01,.,6.3693,.,.,.,.
1923-08-01,.,6.2586,.,.,.,.
1923-09-01,.,6.1201,.,.,.,.
1923-10-01,.,6.0924,.,.,.,.
1923-11-01,.,6.0924,.,.,.,.
1923-12-01,.,5.9539,.,.,.,.
1924-01-01,.,6.0924,.,.,.,.
1924-02-01,.,6.2032,.,.,.,.
1924-03-01,.,6.0924,.,.,.,.
1924-04-01,.,5.8986,.,.,.,.
1924-05-01,.,5.6493,.,.,.,.
1924-06-01,.,5.4001,.,.,.,.
1924-07-01,.,5.3170,.,.,.,.
1924-08-01,.,5.5109,.,.,.,.
1924-09-01,.,5.7047,.,.,.,.
1924-10-01,.,5.8432,.,.,.,.
1924-11-01,.,5.9540,.,.,.,.
1924-12-01,.,6.1201,.,.,.,.
1925-01-01,.,6.3140,.,.,.,.
1925-02-01,.,6.3140,.,.,.,.
1925-03-01,.,6.3140,.,.,.,.
1925-04-01,.,6.3693,.,.,.,.
1925-05-01,.,6.3416,.,.,.,.
1925-06-01,.,6.2863,.,.,.,.
1925-07-01,.,6.4524,.,.,.,.
1925-08-01,.,6.3416,.,.,.,.
1925-09-01,.,6.2586,.,.,.,.
1925-10-01,.,6.5078,.,.,.,.
1925-11-01,.,6.6463,.,.,.,.
1925-12-01,.,6.7293,.,.,.,.
1926-01-01,.,6.6186,.,.,.,.
1926-02-01,.,6.6186,.,.,.,.
1926-03-01,.,6.7017,.,.,.,.
1926-04-01,.,6.7017,.,.,.,.
1926-05-01,.,6.6463,.,.,.,.
1926-06-01,.,6.7293,.,.,.,.
1926-07-01,.,6.7570,.,.,.,.
1926-08-01,.,6.8401,.,.,.,.
1926-09-01,.,6.9509,.,.,.,.
1926-10-01,.,6.9509,.,.,.,.
1926-11-01,.,6.9232,.,.,.,.
1926-12-01,.,6.8955,.,.,.,.
1927-01-01,.,6.8678,.,.,.,.
1927-02-01,.,6.9232,.,.,.,.
1927-03-01,.,7.0063,.,.,.,.
1927-04-01,.,6.8401,.,.,.,.
1927-05-01,.,6.8955,.,.,.,.
1927-06-01,.,6.8678,.,.,.,.
1927-07-01,.,6.7847,.,.,.,.
1927-08-01,.,6.7847,.,.,.,.
1927-09-01,.,6.6740,.,.,.,.
1927-10-01,.,6.5355,.,.,.,.
1927-11-01,.,6.5355,.,.,.,.
1927-12-01,.,6.5632,.,.,.,.
1928-01-01,.,6.7017,.,.,.,.
1928-02-01,.,6.7570,.,.,.,.
1928-03-01,.,6.8124,.,.,.,.
1928-04-01,.,6.7847,.,.,.,.
1928-05-01,.,6.8678,.,.,.,.
1928-06-01,.,6.9232,.,.,.,.
1928-07-01,.,7.0063,.,.,.,.
1928-08-01,.,7.1447,.,.,.,.
1928-09-01,.,7.2001,.,.,.,.
1928-10-01,.,7.3386,.,.,.,.
1928-11-01,.,7.4770,.,.,.,.
1928-12-01,.,7.6155,.,.,.,.
1929-01-01,.,7.7263,.,.,.,.
1929-02-01,.,7.6986,.,.,.,.
1929-03-01,.,7.7263,.,.,.,.
1929-04-01,.,7.8648,.,.,.,.
1929-05-01,.,8.0032,.,.,.,.
1929-06-01,.,8.0586,.,.,.,.
1929-07-01,.,8.1694,.,.,.,.
1929-08-01,.,8.0863,.,.,.,.
1929-09-01,.,8.0309,.,.,.,.
1929-10-01,.,7.8924,.,.,.,.
1929-11-01,.,7.5047,.,.,.,.
1929-12-01,.,7.1724,.,.,.,.
1930-01-01,.,7.1724,.,.,.,.
1930-02-01,.,7.1447,.,.,.,.
1930-03-01,.,7.0340,.,.,.,.
1930-04-01,.,6.9786,.,.,.,.
1930-05-01,.,6.8678,.,.,.,.
1930-06-01,.,6.6740,.,.,.,.
1930-07-01,.,6.3693,.,.,.,.
1930-08-01,.,6.2309,.,.,.,.
1930-09-01,.,6.1201,.,.,.,.
1930-10-01,.,5.9539,.,.,.,.
1930-11-01,.,5.8155,.,.,.,.
1930-12-01,.,5.6770,.,.,.,.
1931-01-01,.,5.6493,.,.,.,.
1931-02-01,.,5.6770,.,.,.,.
1931-03-01,.,5.7878,.,.,.,.
1931-04-01,.,5.8155,.,.,.,.
1931-05-01,.,5.7324,.,.,.,.
1931-06-01,.,5.5939,.,.,.,.
1931-07-01,.,5.5109,.,.,.,.
1931-08-01,.,5.3170,.,.,.,.
1931-09-01,.,5.0678,.,.,.,.
1931-10-01,.,4.8739,.,.,.,.
1931-11-01,.,4.8185,.,.,.,.
1931-12-01,.,4.7908,.,.,.,.
1932-01-01,.,4.6524,.,.,.,.
1932-02-01,.,4.5416,.,.,.,.
1932-03-01,.,4.4862,.,.,.,.
1932-04-01,.,4.1816,.,.,.,.
1932-05-01,.,4.0431,.,.,.,.
1932-06-01,.,3.9047,.,.,.,.
1932-07-01,.,3.7939,.,.,.,.
1932-08-01,.,3.9047,.,.,.,.
1932-09-01,.,4.1539,.,.,.,.
1932-10-01,.,4.2924,.,.,.,.
1932-11-01,.,4.2924,.,.,.,.
1932-12-01,.,4.2093,.,.,.,.
1933-01-01,.,4.1262,.,.,.,.
1933-02-01,.,4.1539,.,.,.,.
1933-03-01,.,3.9047,.,.,.,.
1933-04-01,.,4.1816,.,.,.,.
1933-05-01,.,4.8739,.,.,.,.
1933-06-01,.,5.6216,.,.,.,.
1933-07-01,.,6.1478,.,.,.,.
1933-08-01,.,5.8986,.,.,.,.
1933-09-01,.,5.5663,.,.,.,.
1933-10-01,.,5.2893,.,.,.,.
1933-11-01,.,4.9847,.,.,.,.
1933-12-01,.,5.0124,.,.,.,.
1934-01-01,.,5.1785,.,.,.,.
1934-02-01,.,5.4278,.,.,.,.
1934-03-01,.,5.6770,.,.,.,.
1934-04-01,.,5.6770,.,.,.,.
1934-05-01,.,5.7878,.,.,.,.
1934-06-01,.,5.6770,.,.,.,.
1934-07-01,.,5.2893,.,.,.,.
1934-08-01,.,5.2339,.,.,.,.
1934-09-01,.,4.9293,.,.,.,.
1934-10-01,.,5.1509,.,.,.,.
1934-11-01,.,5.2062,.,.,.,.
1934-12-01,.,5.5386,.,.,.,.
1935-01-01,.,5.9816,.,.,.,.
1935-02-01,.,6.0924,.,.,.,.
1935-03-01,.,6.0647,.,.,.,.
1935-04-01,.,5.9539,.,.,.,.
1935-05-01,.,5.9539,.,.,.,.
1935-06-01,.,6.0370,.,.,.,.
1935-07-01,.,6.0370,.,.,.,.
1935-08-01,.,6.2586,.,.,.,.
1935-09-01,.,6.4247,.,.,.,.
1935-10-01,.,6.6186,.,.,.,.
1935-11-01,.,6.7570,.,.,.,.
1935-12-01,.,6.8401,.,.,.,.
1936-01-01,.,6.7293,.,.,.,.
1936-02-01,.,6.5632,.,.,.,.
1936-03-01,.,6.6463,.,.,.,.
1936-04-01,.,7.0617,.,.,.,.
1936-05-01,.,7.2001,.,.,.,.
1936-06-01,.,7.3386,.,.,.,.
1936-07-01,.,7.4770,.,.,.,.
1936-08-01,.,7.5878,.,.,.,.
1936-09-01,.,7.7263,.,.,.,.
1936-10-01,.,7.8371,.,.,.,.
1936-11-01,.,8.0586,.,.,.,.
1936-12-01,.,8.3078,.,.,.,.
1937-01-01,.,8.2801,.,.,.,.
1937-02-01,.,8.3909,.,.,.,.
1937-03-01,.,8.5848,.,.,.,.
1937-04-01,.,8.5848,.,.,.,.
1937-05-01,.,8.6125,.,.,.,.
1937-06-01,.,8.5017,.,.,.,.
1937-07-01,.,8.5571,.,.,.,.
1937-08-01,.,8.5017,.,.,.,.
1937-09-01,.,8.2248,.,.,.,.
